Serial number,County,Subcounty,Education zone,,,School Name/Learning Institution,"Type of school1_ Public, Private, Informal",GPS Cordinate (Latitudes),GPS Cordinate (Longtitudes),,TSC Code,KNEC Code,MOE Code/ Nemis Code,Sponsor, Land area_ acres,"Level_ Pre primary, Primary, Secondary, Special needs, technical colleges,  Diploma Teacher colleges, Certificate Teacher colleges,  University","Type of school1_ Public, Private, Informal","Registered, Not registered",Type of school2_Boys; Girls; Mixed,Type of school3_Day; Boarding; Both,"Type of school4_Regular, Integrated, Special Needs School",Enrolment,,,TSC Teachers,,County government (e.g. for Pre primary),,BOM/PTA,,"Total Human resources (Teaching staff , Tsc, BOM/PTA, County)",,,Human resources: Curriculum support, Human resources: Non-Teaching staff,"Infrastructure ( No of classrooms, Labs, Boys toilets, Girls Toilets)",,,,,,,,KCPE (for primary),KCSE (Secondary),HT TEL. CONTACT
99,Makueni,Nzaui,Matiliku,Makueni,Nzaui-Kalamba-Kilili,KYUASINI,Public,-1.996101,37.823645,,,,3V6Z,,1,Primary,Public,Registered,Mixed,Day,Integrated school,84,52,136,3,4,0,0,0,0,7,0,7,CSO,0,7,0,0,0,4,0,4,0,,,0727763023
100,Makueni,Nzaui,Matiliku,Makueni,Nzaui-Kalamba-Kilili,YIUMA,Public,-1.889253,37.558034,,,,3RDK,,1,Primary,Public,Registered,Mixed,Day,Integrated school,114,115,229,6,2,0,0,0,0,8,0,8,CSO & TSC,1,8,0,0,0,4,0,4,0,,,0711996561
101,Makueni,Nzaui,Matiliku,Makueni,Nzaui-Kalamba-Kilili,KILILI,Public,-1.905319,37.573429,,,,JUFS,,2.2 Ha,Primary,Public,Registered,Mixed,Day,Integrated school,113,84,197,3,5,0,0,0,0,8,0,8,CSO & TSC,1,8,0,0,0,6,0,16,0,,,0728241423
102,Makueni,Nzaui,Matiliku,Makueni,Nzaui-Kalamba-Kilili,MULENYU,Public,-1.948696,37.624528,,,,5BYA,,9Ha,Primary,Public,Registered,Mixed,Day,Integrated school,125,158,283,1,8,0,0,0,0,9,0,9,CSO & TSC,2,8,0,0,0,4,0,4,0,,,0711471220
103,Makueni,Nzaui,Matiliku,Makueni,Nzaui-Kalamba-Kilili,NGULWA,Public,-1.981209,37.534286,,,,L7GS,,2,Primary,Public,Registered,Mixed,Day,Integrated school,76,61,137,2,6,0,0,0,1,8,1,9,CSO,1,8,0,0,0,5,0,4,0,,,0723975673
104,Makueni,Nzaui,Matiliku,Makueni,Nzaui-Kalamba-Kilili,KYANGWASI,Public,-1.939767,37.556365,,,,4ZVD,,5.7,Primary,Public,Registered,Mixed,Day,Regular,166,160,326,3,7,0,0,0,1,10,1,11,CSO,1,10,0,0,0,4,0,8,0,,,0715038851
105,Makueni,Nzaui,Matiliku,Makueni,Nzaui-Kalamba-Kilili,NDOVEA,Public,-1.959466,37.55569,,,,LATB,,3.8,Primary,Public,Registered,Mixed,Day,Regular,186,158,344,3,9,0,0,0,0,12,0,12,"MINISTRY OFFICERS,CSO,MOEST",2,12,0,0,0,6,0,6,0,,,0713413588
106,Makueni,Nzaui,Matiliku,Makueni,Nzaui-Kalamba-Kilili,KAWALA,Public,-1.954137,37.585081,,,,MB9T,,4.2 Ha,Primary,Public,Registered,Mixed,Day,Regular,203,208,411,3,6,0,0,1,2,9,3,12,CSO,1,27,0,0,0,5,0,8,0,,,0718998717
107,Makueni,Nzaui,Matiliku,Makueni,Nzaui-Kalamba-Kilili,KWAMUTUMIA,Public,-1.974398,37.585296,,,,5BQ2,,0.8 Ha,Primary,Public,Registered,Mixed,Day,Regular,168,116,284,4,4,0,0,0,0,0,0,8,CSO,2,8,0,0,0,5,0,5,0,,,0728162916
109,Makueni,Nzaui,Matiliku,Makueni,Nzaui-Kalamba-Kilili,MATILIKU,Public,-1.96442,37.531562,,,,8DV5,,8,Primary,Public,Registered,Mixed,Day & Boarding,Regular,240,277,517,5,9,0,0,3,1,14,4,18,CSO & SNE OFFICIAL,5,15,0,0,0,9,0,10,0,,,0721559087
110,Makueni,Nzaui,Matiliku,Makueni,Nzaui-Kalamba-Kilili,NGÓI,Public,-1.917243,37.561953,,,,AYNI,,O.44 Ha,Primary,Public,Registered,Mixed,Day,Regular,96,92,188,5,2,0,0,0,2,7,2,9,CSO,2,8,0,0,0,8,0,8,0,,,0710559097
111,Makueni,Nzaui,Matiliku,Makueni,Nzaui-Kalamba-Kilili,NGAA,Public,-1.952793,37.520209,,,,NRQA,,18.04,Primary,Public,Registered,Mixed,Day,Regular,214,218,432,4,8,0,0,0,0,0,12,12,CSO,1,11,0,0,0,18,0,18,0,,,0723565082
114,Makueni,Nzaui,Mulala,Kibwezi West,Mulala-Emali,UTHANGATHI,Public,-2.006383,37.474741,,,,EKB6,,4,Primary,Public,Registered,Mixed,Day,Regular,83,84,167,6,2,0,0,0,2,0,8,10,"TSC,CSO",1,8,0,0,0,4,0,6,0,,,0711677451
115,Makueni,Nzaui,Mulala,Kibwezi West,Mulala-Emali,NGELENGE,Public,-1.983457,37.522214,,,,,,1.8,Primary,Public,Registered,Mixed,Day,Regular,114,87,201,4,4,0,0,0,1,8,1,9,SEMINARS/WORKSHOPS,1,8,0,0,0,6,0,6,0,,,0725084265
116,Makueni,Nzaui,Mulala,Kibwezi West,Mulala-Emali,TUTINI,Public,-2.054951,37.537178,,,18324303232,,,5,Primary,Public,Registered,Mixed,Day,Regular,196,194,390,5,6,0,0,2,0,11,2,13,CSO,2,11,0,0,0,4,0,6,0,,,0728484894
118,Makueni,Nzaui,Mulala,Kibwezi West,Mulala-Emali,KIUANI,Public,-2.028763,37.451545,,,,5KPD,,2Ha,Primary,Public,Registered,Mixed,Day,Integrated school,116,95,211,6,3,0,0,2,0,9,2,11,"CSO,TSC,H/TEACHER,MINISTRY",,8,0,0,0,8,0,6,0,,,0720643611
119,Makueni,Nzaui,Mulala,Kibwezi West,Mulala-Emali,KITANDI,Public,-1.746911,37.336209,,,,3JS6,,2,Primary,Public,Registered,Mixed,Day,Integrated school,87,84,171,1,7,0,0,0,0,8,0,8,"CSO,TSC,SCDE",1,8,0,0,0,4,0,5,0,,,0720211698
120,Makueni,Nzaui,Mulala,Kibwezi West,Mulala-Emali,NDWAANI,Public,-1.997736,37.523879,,,,RBCJ,,3.4,Primary,Public,Registered,Mixed,Day,Regular,102,94,196,2,6,0,0,1,0,8,1,9,"GOK,PARENTS",,8,0,0,0,8,0,7,0,,,0727156877
121,Makueni,Nzaui,Mulala,Kibwezi West,Mulala-Emali,MATIKU,Public,-2.018606,37.464857,,,,B8YU,,3.36 Ha,Primary,Public,Registered,Mixed,Day,Integrated school,254,225,479,8,5,0,0,2,2,13,4,17,"CSO,TEACHERS",2,14,0,0,0,2,0,2,0,,,0700657972
122,Makueni,Nzaui,Mulala,Kibwezi West,Mulala-Emali,KILIKU,Public,-2.052491,37.481514,,,,,,0.9 Ha,Primary,Public,Registered,Mixed,Day,Regular,253,269,522,6,11,0,0,1,2,15,3,18,"CSO,SCDE",2,16,0,0,0,10,0,14,0,,,0720459849
123,Makueni,Nzaui,Mulala,Kibwezi West,Mulala-Emali,MWASANG'OMBE,Public,-1.988647,37.504075,,,,WL45,,0.25 Ha,Primary,Public,Registered,Mixed,Day,Regular,95,90,185,5,3,0,0,0,0,8,0,8,"GOK,PARENTS",,8,0,0,0,3,0,3,0,,,0724440677
124,Makueni,Nzaui,Mulala,Kibwezi West,Mulala-Emali,MULALA HGM,Public,-2.009823,37.487472,,,,B4FR,,4.4 Ha,Primary,Public,Registered,Mixed,Day,Regular,206,199,405,4,11,0,0,0,2,15,2,17,"MOEST,CSO,SCD",1,16,0,0,0,4,0,8,0,,,0726285039
125,Makueni,Nzaui,Mulala,Kibwezi West,Mulala-Emali,KWAKALELI,Public,-2.029918,37.516683,,,,QHGK,,1.2,Primary,Public,Registered,Mixed,Day,Regular,144,176,320,4,7,0,0,1,0,11,1,12,"CSO,MOE,TSC",2,10,0,0,0,3,0,5,0,,,0716019109
126,Makueni,Nzaui,Mulala,Kibwezi West,Mulala-Emali,KWAKAKULU,Public,-2.062377,37.503439,,,,UJRF,,1.9,Primary,Public,Registered,Mixed,Day,Integrated school,143,146,289,4,5,0,0,3,0,9,3,12,CSO,2,8,0,0,0,6,0,8,0,,,0729862545
127,Makueni,Nzaui,Mulala,Kibwezi West,Mulala-Emali,NDUUNDUNE,Public,-2.040175,37.500899,,,,PNEK,,1.32 Ha,Primary,Public,Registered,Mixed,Day,Integrated school,223,238,461,3,12,0,0,0,0,15,0,15,"CSO,SCQAS",2,16,0,0,0,3,0,3,0,,,0736776584
130,Makueni,Nzaui,Mulala,Kibwezi West,Mulala-Emali,IVIANI,Public,-2.034236,37.481999,,,,UIC,,11,Primary,Public,Registered,mixed,Day,Integrated school,165,154,319,3,7,0,0,4,8,10,12,22,"CSO,BOM",1,8,0,0,0,6,0,10,0,,,0720907402
131,Makueni,Nzaui,Mulala,Kibwezi West,Mulala-Emali,KATISAA,Public,-2.001576,37.508669,,,,,,0.36 Ha,Primary,Public,Registered,Mixed,Day,Regular,87,93,180,7,2,0,0,0,0,9,0,9,CSO,1,8,0,0,0,4,0,5,0,,,0721267807
132,Makueni,Nzaui,Mulala,Kibwezi West,Mulala-Emali,KALIMA,Public,-2.049304,37.54931,,,,A6SV,,2Ha,Primary,Public,Registered,mixed,Day,Regular,86,76,162,4,4,0,0,0,1,8,1,9,"TSC,MOE",2,8,0,0,0,2,0,4,0,,,0720461527
2,Makueni,Mbooni West,Tulimani,Mbooni,Tulimani,MANZUVI,Public,0,0,,,18323335,,AIC,5,Primary,Public,Registered,Mixed,Day,Regular,51,42,93,5,3,0,0,0,0,0,0,8,"CSO,SUB COUNTYOFFICERS",1,8,0,0,0,5,0,7,0,,,0721972026
3,Makueni,Mbooni West,Tulimani,Mbooni,Tulimani,MUUMONI,Public,-1.609755,37.381386,,0031-404-4150,18323330,5UHG,S/ARMY,1.5,Primary,Public,Not Registered,mixed,Day,Regular,83,77,160,4,4,0,0,0,0,8,0,8,"CSO,TSC,MOE",1,8,0,0,0,5,0,6,0,,,0725718099
4,Makueni,Mbooni West,Kitundu,Mbooni,Kithungo/Kitundu,KYANDOTE ACK ,Public,-1.696432,37.465942,,81-01-043-136,18323218,,S/ARMY,1,Primary,Public,Registered,Mixed,Day,Regular,125,113,238,3,5,0,0,2,0,8,2,10,"CQASO,CDE OFFICE,MOE",2,8,0,0,0,4,0,3,0,,,0728116237
5,Makueni,Mbooni West,Kitundu,Mbooni,Kithungo/Kitundu,UTANGWA HGM,Public,-1.706406,37.444184,,4063,18323210,,CATHOLIC,6.4,Primary,Public,Not Registered,Mixed,Day,Regular,193,223,416,6,9,0,0,2,0,15,2,17,"NGO's, MINISTRY,KEPSHA",6,12,2,0,0,3,0,8,0,,,0726075283
6,Makueni,Mbooni West,Kithungo,Mbooni,Kithungo/Kitundu,KAVUMBU,Public,-1.729888,37.458072,,14701-17-4061,,,DEB,4.5,Primary,Public,Registered,Mixed,Day,Regular,65,56,121,5,3,0,0,0,0,8,0,8,"H/TEACHERS, TEACHERS",,3,5,0,0,3,0,3,0,,,0726245378
7,Makueni,Mbooni West,Kithungo,Mbooni,Kithungo/Kitundu,MUMANI,Public,-1.727485,37.477351,,,,D69U,,1.5,Primary,Public,Registered,Mixed,Day,Regular,136,138,274,4,4,0,0,0,0,8,0,8,CSO,1,8,0,0,0,6,0,6,0,,,0706153245
10,Makueni,Mbooni West,Mbooni,Mbooni,Mbooni,MUKAATINI,Public,-1.642365,37.468396,,1470-1404-4036,18323103,PRBL,,6.5,Primary,Public,Registered,mixed,Day,Regular,199,195,394,7,7,0,0,0,0,14,0,14,"CSO,SCQASO",2,15,0,0,0,7,0,7,0,,,0726420431
11,Makueni,Mbooni West,Mbooni,Mbooni,Mbooni,KYAMUNYAE,Public,-1.679111,37.418975,,1470-1404-4152,18323129,5PW8,,0.25,Primary,Public,Registered,mixed,Day,Regular,67,65,132,7,0,0,0,1,0,7,1,8,"CSO,KNEC/SCD",1,8,0,0,0,3,0,3,0,,,0729756524
15,Makueni,Mbooni West,Mbooni,Mbooni,Mbooni,MUTITU SDA ,Public,-1.658275,37.451546,,1470-1404-4038,18323102,QRPB,,0.6 Ha,Primary,Public,Registered,mixed,Day,Regular,122,110,232,3,9,0,0,0,0,12,0,12,"TSC,MOE",1,8,0,0,0,2,0,7,0,,,0745347778
25,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Wanzauni,Public,-1.555788,37.402937,,14701174017,18323309,E47L,CEB,1.9 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Regular,159,143,302,3,6,0,0,2,0,9,2,11,CSO,2,11,0,0,0,4,0,4,0,220.4,,721281212
26,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Itetani ,Public,-1.592437,37.382803,,00314044002,18323314,X3B6,Salvation Army,0.1 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Regular,108,92,200,3,6,0,0,0,0,9,0,9,"CSO, SCDE",1,8,0,0,0,4,0,4,0,234.01,,721462673
27,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Ivuvuka ,Public,-1.623777,37.385306,,824301003,18323317,Tn3e,Salvation Army,4.5 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Regular,95,94,189,2,5,0,0,2,0,7,2,9,"CSO, SCDE, SPONSOR",2,8,0,0,0,5,0,8,0,212.78,,720928824
28,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Wambuli,Public,-1.580001,37.37587,,4016,18323316,24RC,CEB,2.0 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Regular,65,64,129,4,3,0,0,0,0,7,0,7,"CSO, SCDE",1,8,0,0,0,10,0,4,0,197.42,,727637602
29,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Kinyuani,Public,-1.56654,37.416583,,14701174025,18323301,23TV,CEB,0.8 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Regular,98,96,194,4,4,0,0,0,2,8,2,10,"SCDE, TSC, MOE & CSO",1,8,0,0,0,12,0,11,0,214.64,,726818239
30,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Kitithini,Public,-1.579665,37.356683,,824301027,18323327,XZe8f,Salvation Army,,Primary,Public,Registered,Mixed,Day & Boarding,Regular,75,61,136,3,6,0,0,1,0,9,1,10,CSO,1,10,0,0,0,6,0,6,0,213.22,,723435384
31,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Kango,Public,-1.557721,37.345219,,247011740008,18323313,T3Q9,AIC,1.3 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Regular,96,58,154,3,5,0,0,0,0,8,0,8,"SDE, CDE & SCDE",1,8,0,0,0,3,0,3,0,241.84,,713820710
32,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Mulooni,Public,-1.606135,37.472671,,03004044011,18323302,j9hv,AIC,2 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Regular,141,141,282,3,6,0,0,0,0,9,0,9,MOE,1,8,0,0,0,5,0,6,0,251,,723285998
33,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Nthaani,Public,-1.599854,37.436105,,147014044020,18323320,G67A,CEB,0.8 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Regular,165,193,358,2,13,0,0,0,0,15,0,15,"CSO, DHRO,SCD-TSC",1,14,0,0,0,8,0,10,0,288.3,,713331531
34,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Kyanguma ,Public,-1.608302,37.434581,,147014044006,18323302,XXQR,CEB,2.33Ha,Primary,Public,Registered,Mixed,Day & Boarding,Regular,157,135,292,2,9,0,0,0,0,11,0,0,"CSO, MOE, TSC",1,8,0,0,0,4,0,8,0,229.84,,705006613
35,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Kathokani,Public,-1.610903,37.412876,,4009,18323307,5FK7,,,Primary,Public,Registered,Mixed,Day & Boarding,Regular,,,,3,8,0,0,0,0,11,0,11,"CSO, TSC, KNEC",0,8,0,0,0,4,0,8,0,232.71,,721970169
36,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Ititu AIC,Public,-1.705515,37.490571,,4054,18323223,6A5P,AIC,5 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Regular,70,64,134,3,5,0,0,1,0,8,1,9,"CSO, CDE,TSC, GOK",1,8,0,0,0,6,0,4,0,280.46,,700610066
37,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Ngaani S.A,Public,-1.693143,37.451234,,4077,18323212,ABYE,S.A,0.28 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Regular,120,119,239,4,4,0,0,0,1,8,1,9,"CSO, SCDE,TSC-SCD, S.A",1,8,0,0,0,5,0,6,0,267,,713341888
38,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Nthaani KAL,Public,-1.601343,37.426163,,4074,18323202,3FA4,SDA,1.5 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Regular,113,102,215,4,4,0,0,1,0,8,1,9,"CSO, MOE, TSC",1,8,0,0,0,4,0,4,0,243.97,,726914497
39,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Kitundu,Public,-1.687688,37.470589,,4057,18323211,AW2J,AIC,4.5 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Regular,219,248,467,7,7,0,0,1,1,14,2,16,"CSO, National Team",2,11,0,0,0,8,0,7,0,334.73,,721579618
40,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,UMA,Public,-1.692043,37.459556,,4065,18323208,79ZC,,4 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Regular,191,85,276,3,6,0,0,1,0,9,1,10,"CSO, TSC, GOK",1,8,0,0,0,7,0,8,0,307.71,,704230917
41,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Kiatineni,Public,-1.555771,37.396653,,314044004,18323308,9Wt3,ABC,2.8 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Regular,170,133,303,2,6,0,0,1,0,8,1,9,"CSO, MOE Dirtector, TSC Director ",1,8,0,0,0,3,0,4,0,259.12,,707942536
42,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,ST. Mary's Ithemboni,Public,-1.640575,37.449709,,174014044029,18323106,HPKZ,,0.06 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Regular,155,133,288,5,5,0,0,0,1,0,9,10,CSO,1,10,0,0,0,5,0,5,0,230.41,,712466326
43,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Yambae,Public,-1.621042,37.470718,,824301042,18323110,MPCB,AIC,2.36 Ha,Primary,Public,Registered,mixed,Day & Boarding,Regular,,,,4,8,0,0,1,1,14,2,16,"CSO, SCHR, TSC- SCD, MOE- SCD",2,10,0,0,0,6,0,8,0,293.43,,710949494
44,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Woyani ABC,Public,-1.681974,37.456049,,,18323215,IUC,ABC,1 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Intergrated,109,98,207,3,5,0,0,1,1,8,2,10,CSO ,1,8,0,0,0,6,0,6,0,254.08,,728123527
45,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Kusyethuku,Public,-1.645116,37.475574,,824303050,18323123,PZ8,AIC,0.33 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Regular,142,145,287,5,3,0,0,0,0,8,0,8,CSO,0,10,0,0,0,3,0,8,0,272.39,,728204808
46,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Kikiini,Public,-1.636919,37.395523,,824301030,18323115,NTEP,AIC,1.90 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Regular,99,117,216,5,3,0,0,0,0,8,0,8,MOE,0,8,0,0,0,5,0,4,0,226.36,,710358538
47,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Matondoni,Public,-1.648004,37.4056,,8204301048,18323121,PNR8,ABC,0.75 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Regular,133,117,250,3,5,0,0,0,0,8,0,8,"Stake holders, Sponsor",1,8,0,0,0,14,0,10,0,239.85,,711390287
48,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Ndueni ,Public,-1.653272,37.420651,,14701174045,18323118,ZWHS,AIC,1.5 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Regular,165,198,363,8,7,0,0,0,0,15,0,15,"MOE, TSC-SDE & CSO, SCQSO",0,12,0,0,0,8,0,12,0,231.22,,720679890
49,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,ST. Mary Gorrete,Public,0,0,,14701174328,,N7YR,Catholic,0.2 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Regular,120,113,233,5,5,0,0,0,0,10,0,10,"CSO,TSC, KNEC,SCEO, ",1,7,0,0,0,4,0,4,0,,,726335110
50,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Mweani ,Public,-1.638984,37.424315,,4148,18323127,FBNM,ABC,2 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Regular,237,223,460,12,5,0,0,0,1,17,1,18,"FBOs,NGOs,Moe, Kepsha",1,11,0,0,0,8,0,8,0,284.91,,727450657
51,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Kusyongali,Public,-1.62632,37.495789,,4059,18323228,4T5N,,2.012 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Regular,278,263,541,2,13,0,0,0,0,15,0,15,"CSO, TSC/MOEST",0,14,0,0,0,12,0,9,0,250.83,,700711209
52,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,Muvaa,Public,-1.669996,37.47524,,4151,18323234,NGA3,,0.5 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Regular,78,77,155,2,6,0,0,0,0,8,0,8,"CSO, SCDE, TSC-SCD, SCDS",1,8,0,0,0,4,0,4,0,263,,727471808
53,Makueni,Mbooni west,Kalawani,Mbooni,Tulimani,Mutaki pri,Public,-1.576573,37.431417,,14701-17-4896,N/A,XE6G,D.E.B,3Acres,Primary,Public,Not registered,Mixed,Day,Regular,91,100,191,3,6,0,0,0,0,9,0,9,CSO&MOE,1,8,0,0,0,2,0,4,0,,,0728934237
54,Makueni,Mbooni west,Mbooni,Mbooni,Mbooni,Mbooni County pri ,Public,-1.664774,37.452553,,4038,18323101,LCTT,D.E.B,6Acres,Primary,Public,"Registered, ",Mixed,Day,Regular,253,247,500,6,12,0,0,3,0,18,3,21,"CSO,QAO,MOE",2,12,0,0,0,10,0,10,0,,,701135368
55,Makueni,Mbbooni west,kalawani,Mbooni,Tulimani,Tututha pri,Public,-1.585261,37.41465,,31-404-4014,18323310,EUEL,A.I.C,2.9 Ha,Primary,Public,Not registered,mixed,Day,Intergrated school,187,163,350,4,8,0,0,0,1,12,1,13,CSO$&QASO,2,16,0,0,0,8,0,8,0,,,711432247
56,Makueni,Mbooni west ,Tulimani,Mbooni,Tulimani,Uvaani pri,Public,-1.548518,37.429612,,14701-404-4015,18323312,6WYF,A.I.C,5.0Ha,Primary,Public,Registered,Mixed,Day & Boarding,Intergrated school,108,206,314,7,1,0,0,0,2,8,2,10,CSO&MOE,1,8,0,0,0,5,0,5,0,,,719152198
57,Makueni,Mbooni west,Tulimani,Mbooni,Tulimani,Tulimani pri,Public,-1.536965,37.375372,,31-404-013,18323325,265Q,Catholic,3.8 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Intergrated school,175,176,351,2,6,0,0,1,1,8,2,10,CSO&MOE,2,8,0,0,0,9,0,6,0,,,700036802
58,Makueni,Mbooni west,Tulimani,Mbooni,Tulimani,Kakima pri,Public,-1.530939,37.399601,,0047-404-402,18323319,3x6x,D.E.B,1.5Ha,Primary,Public,Registered,Mixed,Day,Regular,113,108,221,5,3,0,0,0,1,8,1,9,CSO&MOE,1,8,0,0,0,5,0,5,0,,,722503834
59,Makueni,Mbooni West,Tulimani,Mbooni,Tulimani,Kyanguswi pri,Public,-1.56465,37.391399,,147-01-404-4141,18323328,MTNZ,A.I.C,0.40Ha,Primary,Public,Not registered,Mixed,Day,Regular,79,77,156,4,3,0,0,1,0,7,1,8,CSO&MOE,1,8,0,0,0,2,0,2,0,,,720803305
60,Makueni,Mbooni west,Mbooni,Mbooni,Mbooni,Ukala pri,Public,-1.666093,37.409961,,4041,18323108,K8TS,A.I.C,0,Primary,Public,Registered,Mixed,Day&Boarding,Regular,140,142,282,4,4,0,0,0,0,8,0,8,"CSO,MOE",1,8,0,0,0,6,0,5,0,,,710599652
61,Makueni,Mbooni west ,Mbooni,Mbooni,Mbooni,Miuusini pri,Public,-1.684282,37.409853,,4047,18323120,,VJX2,0.7Ha,Primary,Public,Registered,Mixed,Day,Regular,86,88,174,7,1,0,0,1,0,8,1,9,CSO&MOE,1,8,0,0,0,4,0,4,0,,,726635333
62,Makueni,Mbooni west,Kalawani,Mbooni,Tulimani,Musoa pri,Public,-1.599262,37.446322,,4018,18323324,H853,S.A,7Ha,Primary,Public,Registered,Mixed,Day,Intergrated school,255,259,514,2,15,0,0,1,0,17,1,18,"CSO,MOE",2,14,0,0,0,13,0,21,0,,,701729117
63,Makueni,Mbooni west,Kalawani,Mbooni,Tulimani,Malaa pri,Public,-1.5818,37.458561,,4024,18323322,6ZM5,0,0.98Ha,Primary,Public,Registered,Mixed,Day&Boarding,Regular,166,129,295,6,4,0,0,0,0,10,0,10,"CSO,MOE",1,8,0,0,0,4,0,8,0,,,721980249
64,Makueni,Mbooni west,Kalawani,Mbooni,Tulimani,Muthwani pri,Public,-1.600011,37.463071,,4012,18323304,9PB2,0,8 Acres,Primary,Public,Registered,Mixed,Day,Regular,154,112,266,4,4,0,0,0,1,8,1,9,CSO,1,8,0,0,0,2,0,4,0,,,711977915
65,Makueni,Mbooni west,Kalawani,Mbooni,Tulimani,Kiliku,Public,-1.586156,37.447013,,4022,18323321,VGRD,SA,0.53Ha,Primary,Public,Registered,mixed,Day,Regular,189,126,315,3,9,0,0,0,0,12,0,12,CSO,1,10,0,0,0,8,0,2,0,,,708879570
66,Makueni,Mboni west,Kalawani,Mbooni,Tulimani,Mavindu pri,Public,-1.62329,37.412046,,4010,18323305,QDDR,0,4Ha,Primary,Public,Registered,Mixed,Day,Regular,273,243,516,9,8,0,0,0,0,17,0,17,CSO,1,16,0,0,0,9,0,9,0,,,726335164
67,Makueni,Mbooni west,Kalawani,Mbooni,Tulimani,Utumoni pri,Public,-1.629283,37.438087,,4023,18323310,967T,A.I.C,1.4 Ha,Primary,Public,Registered,Mixed,Day,Regular,146,128,274,6,3,0,0,0,0,9,0,9,CSO&MOE,1,8,0,0,0,9,0,12,0,,,723400759
68,Makueni,Mbooni west ,Kalawani,Mbooni,Tulimani,Musau Imale pri,Public,-1.563806,37.448979,,4001,18323311,ARSD,0,2.6Ha,Primary,Public,Registered,Mixed,Day,Regular,100,86,186,2,6,0,0,0,0,8,0,8,CSO,0,8,0,0,0,6,0,12,0,,,701657472
69,Makueni,Mbooni west,Kalawani,Mbooni,Tulimani,Kitoo ABC pri,Public,-1.618805,37.422469,,4005,18323306,DFAM,A.B.C,0,Primary,Public,Registered,Mixed,Day,Intergrated school,144,124,268,4,5,0,0,2,0,9,2,11,CSO,1,13,0,0,0,10,0,11,0,,,710513858
70,Makueni,Mbooni west,Mbooni,Mbooni,Mbooni,Syiluni pri,Public,-1.641627,37.409301,,4040,18323314,FSHZ,A.I.C,0,Primary,Public,Registered,Mixed,Day  ,Intergrated school,182,210,392,6,8,0,0,0,0,13,0,13,CSO,0,16,0,0,0,10,0,12,0,,,721210762
